Country,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008
Bermuda/BM,25.07881,25.19625,25.31163,25.4399,25.56404,25.69903,25.82431,25.94406,26.06962,26.19307,26.30429,26.40672,26.53011,26.65258,26.75763,26.88993,27.01108,27.12503,27.24352,27.34456,27.45476,27.55826,27.66492,27.76999,27.87082,27.98684,28.12057,28.26753,28.41894
Bhutan/BT,21.81929,21.80187,21.78799,21.77328,21.7664,21.75421,21.74839,21.75695,21.76646,21781,21.7981,21.81922,21.84349,21.87072,21.90149,21.93914,21.98528,22.0365,22.09205,22.14998,22.21076,22.26991,22.33607,22.40769,22.48194,22.55711,22633,22.72221,22.8218
Bolivia/BO,23.00319,23.04351,23.07385,23.08641,23.1075,23.13397,23.16541,23.20657,23.25603,23.30494,23.35095,23.39988,23.45185,23.50266,23.5581,23.61766,23.68542,23.7552,23.81981,23.88573,23.95185,24.01547,24.08033,24.14039,24.20067,24.26262,24.31851,24.37227,24.43335
Bosnia and Herzegovina/BA,25.32025,25.33178,25.35258,25.37304,25.39811,25.42164,25.44097,25.4444,25.43763,25.41851,25.39629,25.34749,25.26577,25.17015,25.09667,25.07033,25.12328,25.22345,25.33549,25.44956,25.57757,25.71444,25.8431,25.97224,26.11931,26.25022,26.37229,26.49206,26.61163
Botswana/BW,19.54182,19.5797,19.62362,19.66629,19.7227,19.77501,19.82815,19.89551,19.98147,20.07896,20.18715,20.30422,20.41434,20.50823,20.58939,20.66838,20.74696,20.82805,20.90699,20.99408,21.09464,21.1985,21.31605,21.43809,21.56543,21.69989,21.83982,21.98606,22.12984
Brazil/BR,22.63867,22.72772,22.81802,22.89804,22.9789,23.07389,23.17442,23.27956,23.38452,23.49948,23.60242,23.71304,23.82606,23.92823,24.03524,24.14789,24.25992,24.37651,24.4885,24.60608,24.73196,24.84949,24.97064,25.09147,25.2199,25.34959,25.48902,25.63555,25.78623
British Virgin Islands/BVI,23.74249,23.79803,23.85294,23.91227,23.97016,24.02379,24.07072,24.13198,24.20123,24.26937,24.36658,24.49622,24.65423,24.8368,25.04243,25.26959,25.48898,25.70132,25.89812,26.08206,26.26016,26.41788,26.56046,26.66719,26.78915,26.91179,27.03094,27.16578,27.31079
Brunei/BN,23.23982,23.27246,23.30495,23.3387,23.37014,23.39392,23.40646,23.41929,23.44076,23.4571,23.48593,23.50616,23.52962,23.55589,23.61052,23.64776,23.69483,23.75058,23.81059,23.8489,23.87813,23.90486,23.93406,23.9798,24.02261,24.06445,24.09869,24.13907,24.18179
Bulgaria/BG,25.28913,25.34139,25.39515,25.44814,25.5058,25.55694,25.61303,25.66821,25.72108,25.77352,25.79169,25.78741,25.7869,25.78218,25.77516,25.78474,25.77704,25.76761,25.77903,25.80308,25.84258,25.89594,25.95657,26.03088,26.11251,26.20561,26.30869,26.42397,26.54286
Burkina Faso/BF,20.03144,20.06225,20.09198,20.11975,20.14327,20.17957,20.22333,20.25441,20.29278,20.3198,20.34378,20.37212,20403,20.43103,20.46465,20.49193,20.52809,20.56636,20.60729,20.66053,20.70895,20.75999,20.81927,20.88506,20.95357,21.02654,21.10561,21.18575,21.27157
Burundi/BI,21.08872,21.11359,21.12784,21.13206,21.12775,21.14807,21.17456,21.19978,21.23035,21.24526,21.27423,21.30618,21.33931,21.35314,21.35172,21.34265,21.33228,21.3182,21.30669,21.30712,21.29665,21.30016,21.31762,21.33669,21.36172,21.38838,21.42011,21.45897,21.50291
Cambodia/KH,19.69966,19.70779,19.7174,19.73194,19.74852,19.77075,19.7942,19.81391,19.83981,19.86195,19.88134,19.90519,19.9375,19.96919,20.00377,20.03927,20.08239,20.12625,20.16351,20.21073,20.25863,20.31227,20.36407,20.42144,20.48485,20.55831,20.63655,20.72057,20.80496
Cameroon/CM,21.78602,21.86229,21.94666,22.03968,22.11848,22.21209,22.30308,22.35705,22.39403,22.42781,22.4571,22.48289,22.50597,22.53125,22.56063,22.59547,22.63932,22.69765,22.76663,22.8312,22.90632,22.98135,23.07282,23.16918,23.27218,23.37502,23.47444,23.57521,23.68173
Canada/CA,25.24074,25.33069,25.4102,25.48895,25.57519,25.66346,25.75539,25.85306,25.94492,26.04039,26.1324,26.22243,26.31568,26.40651,26.49979,26.58874,26.67114,26.75346,26.83631,26.91646,26.99336,27.06234,27.12542,27.18538,27.24205,27.29581,27.35018,27.40416,27.4521
Cape Verde/CV,20.65607,20.71493,20.77269,20.84066,20.91738,20.99708,21.07982,21.19,21.30276,21.39508,21.48587,21.57392,21.66202,21.74446,21.83323,21.9515,22.0401,22.13422,22.24215,22.35591,22.47423,22.59267,22.71017,22.83106,22.95363,23.07864,23.22111,23.36939,23.51522
Central African Rep./CF,20.95858,20.96244,20.96119,20.94252,20.92022,20.89449,20.87539,20.85032,20.83262,20.82311,20.81775,20.81553,20.80177,20.78856,20.78073,20.78063,20.77539,20.7839,20.79623,20.81486,20.83702,20861,20.8806,20.88965,20.90453,20.92015,20.94058,20.96435,20.99095
Chad/TD,20.22551,20.2271,20.2314,20.25014,20.27327,20.31534,20.34928,20.37757,20.41912,20.46667,20.50477,20.54673,20.5876,20.61301,20.6328,20.66849,20.70319,20.74174,20.78687,20.83189,20.86887,20.91294,20.96196,21.02777,21.12698,21.22857,21.32338,21.40464,21.48569
Chile/CL,24.48362,24.56329,24.62478,24.67812,24.73825,24.79547,24.8453,24.89825,24.96211,25.04196,25.12311,25.21,25.32067,25.43773,25.55295,25.66344,25.77917,25.88624,25.98953,26.08188,26.17741,26.26824,26.36532,26.46749,26.57109,26.67952,26.79366,26.90237,27.01542
China/CN,21.5784,21.58356,21.5955,21.61408,21.64363,21.67833,21.71745,21.7639,21.81317,21.85731,21.90382,21.95193,22.00604,22.0732,22.1511,22.23897,22.31367,22387,22.44676,22.49909,22.54068,22.57822,22.61654,22.65637,22.69719,22.74628,22.80042,22.86161,22.92176
Colombia/CO,22.07035,22.1769,22.26799,22.36244,22.45181,22.54068,22.63499,22.73777,22.84228,22.9499,23.05701,23.16434,23.27852,23.39628,23.51334,23.6395,23.75218,23.86203,23.95979,24.05208,24.14347,24.23406,24.32036,24.40818,24.4994,24.59634,24.70577,24.82307,24.94041
Comoros/KM,20.98163,21.0066,21.04036,21.07561,21.10763,21.14296,21.18685,21.2455,21.30362,21.36185,21.41916,21.47534,21.52733,21.57169,21.60407,21.63794,21.66373,21.68527,21.70443,21.72285,21.74088,21.76273,21.79129,21.82661,21.8694,21.91364,21.9634,22.01198,22.06131
"Congo, Dem. Rep./CD",20.74786,20.73587,20.72111,20.70907,20.70142,20.69308,20.68853,20.68344,20.6799,20673,20.66681,20.6504,20.61508,20.5555,20.48951,20.40021,20.31166,20.22254,20.14174,20.05896,19.97498,19.89845,19.83696,19.80717,19.78927,19.78781,19.8018,19.8291,19.86692
